district_id,quarter_name,population_2012,population_2025,traffic_2012,traffic_2025,population_growth_pct,traffic_growth_pct,stress_index_pct,stress_classification
1,City,799,783,24367220,17779492,-2.0,-27.0,-25.0,Balanced
1,Fluntern,0,0,12084382,10150053,NULL,-16.0,NULL,"Residential pressure"
1,Hochschulen,673,681,53764914,37364143,1.2,-30.5,-31.7,Balanced
1,Lindenhof,935,1011,4507353,2803953,8.1,-37.8,-45.9,Balanced
1,Rathaus,3164,3257,4904046,3430513,2.9,-30.0,-33.0,Balanced
2,Alt-Wiedikon,0,0,5203976,4080347,NULL,-21.6,NULL,"Residential pressure"
2,Enge,8702,10004,6407661,16989166,15.0,165.1,150.2,"Commuter pressure"
2,Leimbach,5354,6358,4366377,3117471,18.8,-28.6,-47.4,Balanced
2,Wollishofen,16029,22053,4671995,3839989,37.6,-17.8,-55.4,Balanced
3,Albisrieden,0,0,15081917,20594354,NULL,36.5,NULL,"Residential pressure"
3,Alt-Wiedikon,16109,18855,36948057,42627146,17.0,15.4,-1.7,"Commuter pressure"
3,Altstetten,0,0,13596137,8335373,NULL,-38.7,NULL,Balanced
3,Friesenberg,10986,11123,2862166,2551764,1.2,-10.8,-12.1,"Commuter pressure"
3,Hard,0,0,22553032,20286385,NULL,-10.1,NULL,Balanced
3,Sihlfeld,20831,21488,13303783,11179045,3.2,-16.0,-19.1,"Commuter pressure"
4,Altstetten,0,0,6548975,12027013,NULL,83.6,NULL,Balanced
4,"Escher Wyss",0,0,22615977,19982675,NULL,-11.6,NULL,"Residential pressure"
4,Hard,12994,12905,9878402,6484796,-0.7,-34.4,-33.7,Balanced
4,Langstrasse,10560,11932,0,0,13.0,NULL,NULL,"Residential pressure"
4,Werd,4195,4622,2337374,1999520,10.2,-14.5,-24.6,"Commuter pressure"
5,Altstetten,0,0,7894073,6900416,NULL,-12.6,NULL,"Residential pressure"
5,"Escher Wyss",3343,6319,28001801,15396446,89.0,-45.0,-134.0,Balanced
5,Gewerbeschule,9824,9516,7348846,4574026,-3.1,-37.8,-34.6,Balanced
6,Oberstrass,10308,11103,0,0,7.7,NULL,NULL,"Residential pressure"
6,Unterstrass,21442,25503,12195039,10860160,18.9,-10.9,-29.9,Balanced
7,Fluntern,7779,8873,5170721,10657177,14.1,106.1,92.0,"Commuter pressure"
7,Hirslanden,7131,7632,10776264,7725910,7.0,-28.3,-35.3,Balanced
7,Hottingen,10447,11588,3208269,2715324,10.9,-15.4,-26.3,Balanced
7,Witikon,10246,11928,0,2115727,16.4,NULL,NULL,"Residential pressure"
8,Mühlebach,5745,6454,4193892,3118488,12.3,-25.6,-38.0,Balanced
8,Seefeld,4916,5859,9341695,7779042,19.2,-16.7,-35.9,Balanced
8,Weinegg,4783,5710,0,1459976,19.4,NULL,NULL,Balanced
9,Albisrieden,18999,23942,0,3704258,26.0,NULL,NULL,Balanced
9,Altstetten,31438,36212,21954303,9195457,15.2,-58.1,-73.3,Balanced
10,Höngg,21537,24891,11740532,11794765,15.6,0.5,-15.1,"Commuter pressure"
10,Wipkingen,15791,16713,35979074,34617183,5.8,-3.8,-9.6,"Commuter pressure"
11,Affoltern,24855,27212,14534495,14437757,9.5,-0.7,-10.1,"Commuter pressure"
11,Hirzenbach,0,0,26868078,24659036,NULL,-8.2,NULL,"Residential pressure"
11,Oerlikon,21331,24126,48525973,47645077,13.1,-1.8,-14.9,"Commuter pressure"
11,Seebach,23310,29361,5723329,5276208,26.0,-7.8,-33.8,Balanced
12,Hirzenbach,11404,12657,2556169,1996836,11.0,-21.9,-32.9,Balanced
12,Saatlen,7118,8838,0,1315371,24.2,NULL,NULL,"Residential pressure"
12,Schwamendingen-Mitte,10934,11300,0,0,3.3,NULL,NULL,"Residential pressure"
